Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Patrick Rodgers,2018,97,61.14,303.5,65.65,29.1,57.22,70.731,0.561,0.232,-0.039,-0.323,0.034,3
Whee Kim,2018,93,61.11,285.8,63.55,28.7,58.56,71.477,0.427,-0.437,-0.748,0.03,-0.146,3
Nick Taylor,2018,94,60.94,292.7,67.65,29.48,61.83,71.269,-0.312,-0.235,0.049,0.011,0.017,2
Bud Cauley,2018,55,60.81,295.4,64.26,28.58,60.12,71.356,0.367,0.461,-0.113,-0.032,0.239,2
Si Woo Kim,2018,108,60.68,290.8,63.78,29,57.23,71.367,-0.168,-0.092,-0.014,-0.2,0.291,5
Nate Lashley,2018,51,60.58,293.9,68.2,29.32,60.59,70.999,0.082,0.31,0.111,0.036,0.08,
Beau Hossler,2018,104,60.47,300,67.95,28.92,60,70.574,0.685,0.584,0.281,-0.395,0.013,5
D.A. Points,2018,63,60.47,280.8,60.2,29.1,53.32,73.019,0.11,-1.449,-1.069,-0.541,0.051,1
Brendan Steele,2018,74,60.47,310.3,69.24,30.36,52.56,71.021,-0.576,0.029,0.557,0.243,-0.195,3
Nicholas Lindheim,2018,77,60.44,293.5,68.04,29.25,53.9,71.344,0.355,-0.323,-0.258,-0.368,-0.052,1
Andrew Putnam,2018,97,60.42,293.8,70.47,29.36,61.52,70.579,0.052,0.472,-0.146,0.38,0.187,5
Jonas Blixt,2018,67,60.3,293.1,62.02,29.1,56.83,72.134,0.244,-0.547,-0.424,-0.563,0.196,
Ethan Tracy,2018,72,60.25,299,64.87,29.44,54.88,72.038,-0.026,-0.813,-0.054,-0.424,-0.309,
Byeong Hun An,2018,86,60.19,307.9,67.99,29.31,61.16,70.19,-0.285,0.805,0.475,0.448,0.167,4
Marc Leishman,2018,93,60.17,298.5,66.67,28.94,59.07,70.26,0.126,0.624,-0.006,0.211,0.292,6
Sam Saunders,2018,80,60.14,302.8,65.02,28.73,55.79,70.794,0.094,0.226,0.35,-0.081,-0.138,4
Anirban Lahiri,2018,82,60.09,294,64.7,28.99,58.35,70.66,0.199,0.104,0.07,-0.285,0.12,4
Sean O'Hair,2018,67,60.09,302.7,63.84,28.97,57.56,71.479,-0.207,-0.233,0.211,-0.073,-0.164,2
Chesson Hadley,2018,103,60.07,300,67.68,28.99,56.6,70.311,0.208,0.859,0.146,0.606,-0.102,7
Mackenzie Hughes,2018,80,60.04,294.9,66.01,29.37,54.19,71.282,-0.177,-0.014,-0.068,0.353,-0.122,1
William McGirt,2018,84,59.89,289.3,67.59,29.28,62.86,70.791,0.2,0.178,-0.306,0.091,0.194,3
Xander Schauffele,2018,96,59.77,304.9,65.59,29.18,57.81,70.486,0.196,0.644,0.24,0.235,-0.027,5
Dustin Johnson,2018,77,59.46,314,70.57,28.47,62.5,68.698,0.385,2.372,0.919,0.829,0.238,10
Matt Jones,2018,70,59.38,304.5,66.49,29.02,60.16,71.112,-0.034,0.104,0.333,-0.386,0.192,
Tiger Woods,2018,68,59.35,303.6,67.4,28.49,64.16,69.35,0.266,1.596,0.061,0.883,0.385,5
Billy Hurley III,2018,70,59.24,284,63.02,29.09,54.93,71.715,0.025,-0.702,-0.696,-0.17,0.139,
Jon Rahm,2018,71,59.2,308.9,70.12,29.14,57.18,69.958,-0.151,0.889,0.817,0.047,0.176,5
Ryan Palmer,2018,69,59.11,305.2,65.61,28.92,55.38,71.031,-0.528,-0.231,0.235,0.236,-0.174,2
Harold Varner III,2018,91,59.02,308.2,67.79,29.56,58.14,70.971,-0.024,0.125,0.204,-0.076,0.021,3
Harris English,2018,84,58.99,302.4,63.32,28.76,57.86,71.162,0.222,-0.184,-0.219,-0.297,0.111,2
Greg Chalmers,2018,56,58.9,282.8,56.94,28.31,52.85,72.531,0.79,-1.266,-0.69,-1.192,-0.174,1
Stephan Jaeger,2018,81,58.76,299.2,67.11,29.61,56.76,71.356,-0.144,-0.09,0.045,-0.166,0.175,
Jonathan Byrd,2018,70,58.59,291.7,68.19,29.5,58.31,71.398,-0.106,-0.266,-0.542,0.043,0.339,
Keith Mitchell,2018,99,58.59,312.6,69.42,29.65,56.55,70.92,-0.504,-0.018,0.706,-0.128,-0.092,4
Martin Piller,2018,79,58.51,292.2,60.39,28.52,57.74,71.929,0.119,-1.127,-0.248,-0.811,-0.186,2
Justin Thomas,2018,91,58.41,311.8,68.77,28.33,62.47,69.118,0.272,1.835,0.408,0.844,0.311,8
Brett Stegmaier,2018,67,58.38,295.4,70.31,29.48,56.44,71.191,0.401,0.048,-0.135,0.078,-0.296,
Charley Hoffman,2018,87,58.34,299.5,66.53,29.19,56.22,70.521,0.026,0.425,0.254,0.216,-0.071,
Jason Day,2018,75,58.32,310,65.28,28.24,62.35,69.603,0.77,1.285,0.176,-0.14,0.479,5
Bubba Watson,2018,90,58.27,313.1,68.21,29.33,56.64,70.384,0.001,0.555,0.78,0.005,-0.231,5
Jason Kokrak,2018,99,58.06,309.5,70.37,29.59,55.11,70.444,0.022,0.539,0.36,0.257,-0.101,4
Jhonattan Vegas,2018,92,57.91,303.6,65.17,29.43,58.6,71.275,-0.059,0.03,0.294,-0.081,-0.124,1
Adam Schenk,2018,86,57.67,305.5,67.92,29.95,54.55,71.37,0.13,-0.15,0.073,-0.262,-0.091,1
Stewart Cink,2018,87,57.6,298.1,68.58,29.53,55.69,70.44,-0.345,0.465,0.057,0.698,0.055,3
Matt Atkins,2018,56,57.5,301.4,63.46,29.12,57.6,72.251,-0.198,-1.129,0.134,-1.039,-0.027,
Talor Gooch,2018,78,57.31,298.9,63.58,28.94,59.53,71.149,0.031,-0.163,-0.322,0.075,0.053,
Bill Haas,2018,76,57.27,296.2,64.79,29.23,60.34,71.028,-0.059,0.079,-0.177,-0.052,0.368,1
J.B. Holmes,2018,77,57.13,306.1,65.26,29.01,57.14,70.789,-0.207,0.549,0.565,0.159,0.032,3
Cameron Smith,2018,85,57.03,298.4,63.18,28.36,61.12,70.517,0.115,0.219,-0.148,0.034,0.218,5
Tyrone Van Aswegen,2018,101,56.98,290.3,65.23,28.98,58.08,71.243,-0.01,-0.323,-0.493,-0.008,0.187,1
Jamie Lovemark,2018,92,56.92,303.2,64.65,28.64,61.07,70.734,0.01,0.388,-0.101,-0.04,0.519,3
Peter Malnati,2018,87,56.86,290.9,62.99,28.07,61.3,70.841,0.619,0.244,-0.372,-0.257,0.255,
Brooks Koepka,2018,64,56.85,313.4,68.28,28.76,63.28,69.444,0.168,1.22,0.658,0.232,0.162,5
Sung Kang,2018,89,56.72,293.1,63.2,29.24,52.4,71.954,-0.235,-1.041,-0.488,-0.094,-0.225,2
Scott Stallings,2018,96,56.57,299.7,65.62,29.14,60.86,70.719,-0.07,0.27,-0.008,0.373,-0.025,2
Shawn Stefani,2018,76,56.52,299.6,67.49,29.27,58.43,71.192,-0.034,0.107,-0.093,0.22,0.013,1
Robert Garrigus,2018,80,56.37,307.9,65.28,29.2,56.84,71.457,-0.569,-0.213,0.21,0.331,-0.186,1
Nick Watney,2018,94,56.33,307.5,67.96,29.26,55.68,70.862,0.2,0.343,0.17,0.141,-0.167,1
Rob Oppenheim,2018,74,56.26,285.2,64.05,28.91,59.55,71.532,0.045,-0.542,-0.662,0.026,0.05,
Grayson Murray,2018,72,56,307.3,62.5,28.94,54.32,72.091,-0.35,-0.336,0.375,-0.347,-0.015,2
Rory McIlroy,2018,64,55.79,319.7,66.3,28.46,62.97,69.303,0.06,1.412,0.761,0.269,0.322,5
Dominic Bozzelli,2018,65,55.69,297,60.94,28.18,58.86,71.179,0.308,-0.055,-0.244,-0.252,0.133,
Patton Kizzire,2018,92,55.59,298.7,69.04,29.53,55.24,70.841,0.03,-0.033,-0.294,0.381,-0.15,4
Matt Every,2018,79,55.5,294.2,64.59,29.24,52.51,72.044,-0.364,-1.139,-0.437,-0.024,-0.314,1
Cody Gribble,2018,71,55.45,301,62.48,28.88,53.3,72.112,0.201,-0.819,-0.212,-0.696,-0.111,
Wesley Bryan,2018,69,55.41,280.4,61.28,28.1,60.17,71.552,0.36,-0.454,-1.443,0.222,0.407,
Lanto Griffin,2018,80,55.27,302.5,67.42,29.42,55.76,71.145,-0.096,-0.268,-0.046,-0.043,-0.084,
Retief Goosen,2018,60,55.22,296.2,61.75,29.12,56.98,71.409,-0.411,-0.497,-0.392,0.389,-0.083,1
Seamus Power,2018,86,55.19,302.6,65.17,28.68,63.8,70.869,0.498,0.178,0.076,-0.392,-0.003,2
Charl Schwartzel,2018,65,55.19,299.5,61.11,28.74,57.88,71.349,0.081,-0.195,-0.035,-0.168,-0.073,3
Patrick Reed,2018,94,55.11,298.1,63.57,28.33,62.94,70.106,0.164,0.947,0.051,0.187,0.545,7
Tony Finau,2018,105,55.09,315.1,70.18,29.03,57.22,69.52,0.232,1.435,0.481,0.5,0.222,8
Trey Mullinax,2018,75,54.94,318.3,65.38,29.13,54.42,70.815,0.072,-0.072,0.506,-0.442,-0.207,3
Martin Flores,2018,92,54.92,300,66.34,29.36,54.89,71.458,-0.289,-0.567,-0.097,-0.083,-0.098,
Michael Kim,2018,74,54.89,289.9,60.63,28.54,56.05,71.662,0.259,-1.003,-1.023,-0.213,-0.027,1
